Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

RanReal_n480_ds_10.txt	738720.53		736831.291	1239.525		16.378	0.029
RanReal_n480_ss_01.txt	709013.47		706322.152	1482.227		8.563	0.007
RanReal_n480_ss_02.txt	708669.95		706709.526	1116.271		8.568	0.034
RanReal_n480_ss_03.txt	711494.78		709761.578	1130.462		8.538	0.024
RanReal_n480_ss_04.txt	708112.59		705840.283	1688.864		8.555	0.022
RanReal_n480_ss_05.txt	709196.38		707516.430	1832.190		8.493	0.029
RanReal_n480_ss_06.txt	710731.22		709267.276	1126.405		8.526	0.033
RanReal_n480_ss_07.txt	709370.75		708093.422	1025.826		8.547	0.018
RanReal_n480_ss_08.txt	710262.85		706658.458	2154.463		8.560	0.037
RanReal_n480_ss_09.txt	707266.44		705916.922	1042.508		8.537	0.031
RanReal_n480_ss_10.txt	712337.02		709489.850	2176.587		8.531	0.018
RanReal_n960_ds_01.txt	2339323.13		2335032.164	2746.861		35.288	0.041
RanReal_n960_ds_02.txt	2338802.40		2335184.367	2427.023		35.440	0.021
RanReal_n960_ds_03.txt	2337858.47		2334980.540	2866.945		35.313	0.040
RanReal_n960_ds_04.txt	2343266.88		2338097.150	3234.212		35.382	0.046
RanReal_n960_ds_05.txt	2336014.59		2332389.258	4070.545		35.376	0.048
RanReal_n960_ds_06.txt	2332842.91		2327820.788	3411.322		35.418	0.034
RanReal_n960_ds_07.txt	2336947.50		2332320.810	2625.522		35.312	0.035
RanReal_n960_ds_08.txt	2334455.43		2331075.850	2150.365		35.440	0.062
RanReal_n960_ds_09.txt	2340959.44		2332620.726	4841.303		35.287	0.035
RanReal_n960_ds_10.txt	2341192.05		2338933.191	3037.340		35.474	0.079
RanReal_n960_ss_01.txt	2298038.76		2291977.966	3083.604		18.507	0.056
RanReal_n960_ss_02.txt	2289721.34		2286230.730	2453.359		18.518	0.029
RanReal_n960_ss_03.txt	2293810.63		2290175.790	3378.400		18.519	0.038
RanReal_n960_ss_04.txt	2290032.86		2287454.812	2496.912		18.562	0.057
RanReal_n960_ss_05.txt	2289357.19		2286433.556	2501.154		18.461	0.032
RanReal_n960_ss_06.txt	2291000.59		2287417.335	3069.596		18.510	0.041
RanReal_n960_ss_07.txt	2297956.74		2292013.398	4595.887		18.546	0.059
RanReal_n960_ss_08.txt	2293499.38		2286410.275	3811.920		18.626	0.064
RanReal_n960_ss_09.txt	2292441.99		2289989.074	2138.099		18.437	0.054
RanReal_n960_ss_10.txt	2293514.31		2291498.588	1716.272		18.629	0.053


############################WJ############################

Geo_n120_ds_01.txt	223034.28		221856.364	916.068		3.532	0.008
Geo_n120_ds_02.txt	123433.59		122806.952	490.456		3.555	0.022
Geo_n120_ds_03.txt	103665.80		103474.335	269.348		3.557	0.022
Geo_n120_ds_04.txt	161024.84		160839.589	154.623		3.573	0.027
Geo_n120_ds_05.txt	242398.12		240831.037	1830.867		3.601	0.062
Geo_n120_ds_06.txt	272552.39		271795.460	805.326		3.558	0.017
Geo_n120_ds_07.txt	216135.79		213703.759	1364.131		3.576	0.027
Geo_n120_ds_08.txt	175723.87		175634.798	73.162		3.597	0.042
Geo_n120_ds_09.txt	190109.02		189431.688	487.375		3.550	0.013
Geo_n120_ds_10.txt	130444.53		130072.614	241.190		3.573	0.020
Geo_n120_ss_01.txt	202746.55		202667.761	43.716		1.885	0.031
Geo_n120_ss_02.txt	109433.72		109409.893	19.270		1.873	0.014
Geo_n120_ss_03.txt	95070.32		95042.092	16.803		1.875	0.042
