Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n960_ss_03.txt	6496146.68		6495968.382	142.018		18.581	0.022
Geo_n960_ss_04.txt	7021702.61		7021298.131	217.515		18.627	0.060
Geo_n960_ss_05.txt	4524276.13		4524073.374	143.292		18.574	0.030
Geo_n960_ss_06.txt	6132206.74		6132146.216	45.262		18.550	0.026
Geo_n960_ss_07.txt	2513270.56		2513207.882	41.309		18.530	0.076
Geo_n960_ss_08.txt	3344326.70		3344186.005	92.072		18.581	0.016
Geo_n960_ss_09.txt	3666995.61		3666748.064	129.277		18.817	0.097
Geo_n960_ss_10.txt	5052250.19		5052011.683	196.371		18.665	0.114
RanInt_n120_ds_01.txt	97184.00		96598.400	461.629		3.612	0.043
RanInt_n120_ds_02.txt	98766.00		98068.000	468.688		3.589	0.014
RanInt_n120_ds_03.txt	96142.00		95382.800	558.106		3.561	0.020
RanInt_n120_ds_04.txt	96848.00		96166.400	419.232		3.594	0.020
RanInt_n120_ds_05.txt	95252.00		94638.400	397.668		3.597	0.021
RanInt_n120_ds_06.txt	95352.00		94818.400	501.204		3.546	0.003
RanInt_n120_ds_07.txt	95612.00		94801.200	696.847		3.576	0.013
RanInt_n120_ds_08.txt	95840.00		95324.800	341.925		3.594	0.027
RanInt_n120_ds_09.txt	96178.00		95631.200	604.767		3.551	0.006
RanInt_n120_ds_10.txt	96088.00		95334.800	673.605		3.591	0.005
RanInt_n120_ss_01.txt	92184.00		91333.200	690.220		1.870	0.007
RanInt_n120_ss_02.txt	91742.00		90683.600	663.884		1.883	0.012
RanInt_n120_ss_03.txt	91006.00		90163.600	467.226		1.898	0.025
RanInt_n120_ss_04.txt	91096.00		90409.200	524.018		1.912	0.023
RanInt_n120_ss_05.txt	90600.00		90046.400	464.392		1.862	0.008
RanInt_n120_ss_06.txt	90554.00		89246.000	778.273		1.864	0.013
RanInt_n120_ss_07.txt	91292.00		90190.800	570.484		1.883	0.023
RanInt_n120_ss_08.txt	91738.00		90927.600	612.780		1.892	0.020
RanInt_n120_ss_09.txt	91040.00		90205.600	628.885		1.888	0.018
RanInt_n120_ss_10.txt	91178.00		90399.200	562.818		1.863	0.009
RanInt_n240_ds_01.txt	306934.00		304589.600	1379.466		7.729	0.052
RanInt_n240_ds_02.txt	306018.00		304478.800	1016.945		7.780	0.053
RanInt_n240_ds_03.txt	305696.00		304469.200	955.070		7.689	0.010
RanInt_n240_ds_04.txt	309596.00		307790.800	994.379		7.826	0.045
RanInt_n240_ds_05.txt	307528.00		305513.600	1942.902		7.758	0.021
RanInt_n240_ds_06.txt	307398.00		306164.000	1234.662		7.701	0.026
RanInt_n240_ds_07.txt	305114.00		303969.600	1143.897		7.715	0.055
RanInt_n240_ds_08.txt	302810.00		301338.000	1051.695		7.850	0.073
RanInt_n240_ds_09.txt	305058.00		303510.000	904.326		7.740	0.016
RanInt_n240_ds_10.txt	305082.00		303968.400	583.510		7.736	0.021
RanInt_n240_ss_01.txt	296056.00		295042.400	837.300		4.047	0.014
RanInt_n240_ss_02.txt	296300.00		295018.800	1001.616		4.075	0.006
RanInt_n240_ss_03.txt	298394.00		296124.800	1420.241		4.029	0.010
RanInt_n240_ss_04.txt	297784.00		296288.400	898.154		4.037	0.010
